# data digitalized from Riou et al. 1989 fig 3;;;;;;;
# date: 29 sept 1986;;;;;;;
# latitude = 44.784920040877154;;;;;;;
hour;incident_global;absorbed;reflected;doy;solar_azimut;solar_inclination;diffuse_ratio
6;0;0;0;272;1.539983162;-0.0297478;1
6.2;18.83929563;5.15474161;2.299050393;272;1.503130785;0.007382407;0.837557677
6.4;38.55508051;18.41277326;4.773575656;272;1.466176164;0.044419845;0.779853031
6.6;62.98978255;36.4000385;10.46623879;272;1.429017906;0.081313395;0.725290417
6.8;91.11789671;54.14648484;16.91900124;272;1.391554214;0.118010902;0.673961202
7;121.7508682;73.75591022;22.91710399;272;1.353682394;0.154458688;0.625925511
7.2;154.7156708;94.52868227;28.43109881;272;1.31529842;0.190601059;0.581212943
7.4;188.2870994;115.4547015;34.6211521;272;1.276296572;0.226379795;0.539823611
7.6;221.1083276;134.9766304;40.42240122;272;1.236569169;0.26173364;0.50172948
7.8;255.2115382;150.2220637;45.48676649;272;1.196006434;0.296597775;0.466875999
8;292.0500564;167.9443359;50.45870715;272;1.154496512;0.330903285;0.435183986
8.2;328.4396992;185.4860104;56.62423128;272;1.111925705;0.364576629;0.406551763
8.4;363.7177495;203.660568;62.19438579;272;1.068178969;0.397539115;0.3808575
8.6;397.0785464;229.7977208;67.73395614;272;1.023140733;0.429706407;0.357961742
8.8;427.7345736;239.9287749;72.35877477;272;0.976696131;0.460988076;0.337710094
9;458.0975837;245.3240264;75.59557584;272;0.928732721;0.491287226;0.319936018
9.2;487.9997055;246.8785404;78.69479983;272;0.879142763;0.520500249;0.304463728
9.4;515.0918995;247.808362;81.51162669;272;0.827826159;0.548516734;0.291111129
9.6;540.8161342;248.5193365;84.32845354;272;0.774694093;0.575219616;0.279692774
9.8;565.0090115;246.5521496;86.48790833;272;0.719673393;0.60048561;0.270022809
10;586.2032828;244.0431962;88.46359222;272;0.662711584;0.62418603;0.261917857
10.2;605.3704933;240.6605534;90.30028505;272;0.603782484;0.64618804;0.255199824
10.4;624.1869428;237.0629969;91.69165827;272;0.542892102;0.66635643;0.24969858
10.6;641.6467731;232.6012573;93.0830315;272;0.480084438;0.684555932;0.245254493
10.8;658.5875893;226.530831;93.45553863;272;0.415446662;0.700654106;0.241720776
11;670.1539015;218.5945072;93.53280672;272;0.349113003;0.71452472;0.238965636
11.2;673.777043;205.8324572;93.19698219;272;0.281266656;0.726051517;0.236874183
11.4;671.7170298;191.9615863;91.53202562;272;0.212139015;0.735132173;0.249108143
11.6;678.6912977;178.5482659;89.86706905;272;0.142005757;0.741682175;0.24530069
11.8;680.4237288;165.1349454;88.26336618;272;0.071179605;0.745638306;0.247457863
12;682.3849849;169.8472072;89.53056227;272;0;0.746961433;0.24569168
12.2;683.2143865;183.6931337;91.66345142;272;-0.071179605;0.745638306;0.242443787
12.4;680.1379122;198.5298931;92.72195968;272;-0.142005757;0.741682175;0.242690272
12.6;677.0614378;212.3687178;93.27831171;272;-0.212139015;0.735132173;0.239394314
12.8;665.2841352;221.9305402;93.46683013;272;-0.281266656;0.726051517;0.248450001
13;651.6333014;228.3689413;93.09089748;272;-0.349113003;0.71452472;0.257652624
13.2;635.5459907;233.4790936;92.55487494;272;-0.415446662;0.700654106;0.268198673
13.4;615.9002301;236.9956567;91.21056964;272;-0.480084438;0.684555932;0.282467503
13.6;599.9299843;240.5227634;89.86626435;272;-0.542892102;0.66635643;0.286606974
13.8;580.5466988;244.0647506;87.7206145;272;-0.603782484;0.64618804;0.29436753
14;558.6330497;245.682195;85.53093263;272;-0.662711584;0.62418603;0.30436368
14.2;536.1900639;246.3207917;82.9658327;272;-0.719673393;0.60048561;0.312678768
14.4;512.4411029;246.9593884;79.6622212;272;-0.774694093;0.575219616;0.32106393
14.6;480.7223891;243.1135009;76.35860969;272;-0.827826159;0.548516734;0.345323269
14.8;448.912831;239.3589058;73.24707981;272;-0.879142763;0.520500249;0.368664513
15;417.4030432;231.8318876;70.14221961;272;-0.928732721;0.491287226;0.390312626
15.2;384.6604189;216.7461145;65.16657729;272;-0.976696131;0.460988076;0.414559058
15.4;352.197269;194.9975889;58.40400584;272;-1.023140733;0.429706407;0.437901623
15.6;321.1284038;183.0532593;54.4941301;272;-1.068178969;0.397539115;0.457064157
15.8;295.161514;172.5853043;51.19390652;272;-1.111925705;0.364576629;0.458728087
16;261.4967535;158.222596;46.36190485;272;-1.154496512;0.330903285;0.486357698
16.2;225.4231717;139.7778449;39.75177353;272;-1.196006434;0.296597775;0.526886322
16.4;188.5743344;118.3959024;33.08910126;272;-1.236569169;0.26173364;0.578266652
16.6;150.2032386;93.2862636;26.43902557;272;-1.276296572;0.226379795;0.650420676
16.8;113.0216445;70.36016503;20.3712329;272;-1.31529842;0.190601059;0.73844601
17;80.64723189;49.32059754;14.30344023;272;-1.353682394;0.154458688;0.825997043
17.2;52.589605;31.63066072;8.521079203;272;-1.391554214;0.118010902;0.920335137
17.4;31.52783074;19.70179605;4.107409374;272;-1.429017906;0.081313395;0.968806803
